"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pantanal  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"prod stdErr";0.03882125625277105;0.032139825849958885;0.044033390759729396;0.1069499493147632;0.03797790882436482;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.961178743747229;0.9678601741500411;0.9559666092402705;0.8930500506852368;0.14735879008273667;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06082833797577636;0.09106480379304827;0.04177989752563355;0.0;0.09683651964722909;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 2001 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.29953006334101184;0.016855951993266068;0.010906583816456584;0.0;0.3272925991507345;0.3272925991507345;0.027105849718978007;0.915175180001743;0.04264873582220437;0.08482481999825697;0.027105849718977948
"2. Formação Natural não Florestal";0.04750894742095998;0.4450145940517259;0.03797433250734928;0.0;0.5304978739800351;0.5304978739800351;-0.04499501826596941;0.8388621630338021;0.02867324355873035;0.16113783696619788;0.044995018265969355
"3. Agropecuária";0.007359438107740636;0.01331675566974732;0.08516035889812847;0.0;0.10583655267561642;0.10583655267561642;0.028204722546317913;0.8046403321463103;0.05708831018634558;0.19535966785368974;0.028204722546317895
"5. Corpo D'água";0.0;0.010315553999326503;0.0;0.026057420194288756;0.03637297419361526;0.03637297419361526;-0.010315553999326503;0.7163950920148495;0.07346653984760938;0.2836049079851505;0.010315553999326502
"total";0.35439844886971245;0.48550285571406576;0.13404127522193432;0.026057420194288756;1.0;1.0;0;0.8557624364851546;0.03788393685193089;0.1442375635148454;0.05531057226529585
"adj population";0.3543984488697121;0.4855028557140648;0.13404127522193432;0.026057420194288753;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0286909369595707e-15;9.743333524551152e-16;1.5125680498660102e-15;3.016761338197468e-15;6.532353677478164e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8451788214545148;0.9166055128495778;0.6353293696820406;1.0;0.8557624364851547;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03865996840428966;0.03269641134585319;0.043505724518669985;0.10743681426204417;0.03820632292334439;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9613400315957104;0.9673035886541468;0.95649427548133;0.8925631857379558;0.1442375635148453;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.05552507161944531;0.08097652332467975;0.04135238755497592;0.0;0.08892699124955049;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 2002 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.296759455333892;0.016231383333450453;0.011889209229565607;0.0;0.32488004789690805;0.32488004789690805;0.023281727899804882;0.9134431531112697;0.04260258832076754;0.08655684688873033;0.023281727899804816
"2. Formação Natural não Florestal";0.044097308934619835;0.44132193426126265;0.03717132027788872;0.0;0.5225905634737712;0.5225905634737712;-0.04088559540196564;0.8444889079659249;0.029229859854609564;0.1555110920340751;0.04088559540196557
"3. Agropecuária";0.007305011528201078;0.012825933754470843;0.09506892197928196;0.0;0.11519986726195389;0.11519986726195389;0.02892958422478241;0.825252009736296;0.05781537827480415;0.17474799026370402;0.028929584224782395
"5. Corpo D'água";0.0;0.01132571672262165;0.0;0.026003804644746522;0.03732952136736817;0.03732952136736817;-0.01132571672262165;0.6966016089206518;0.071870114326207;0.3033983910793482;0.011325716722621646
"total";0.34816177579671287;0.48170496807180563;0.14412945148673628;0.026003804644746522;1.0;1.0;0;0.8591541162191829;0.03845918073723542;0.14084588378081708;0.05221131212458721
"adj population";0.3481617757967125;0.4817049680718047;0.1441294514867363;0.026003804644746515;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0265121208827074e-15;9.69227454157773e-16;1.468960192141573e-15;3.0005781153034624e-15;6.465277882485516e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8523608160453716;0.9161664577133376;0.6596078802674886;1.0;0.8591541162191829;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03920319074045415;0.03305621865092185;0.04410364069749005;0.10744758604914695;0.03872307683437965;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9607968092595458;0.9669437813490781;0.9558963593025099;0.892552413950853;0.14084588378081708;NaN;NaN;NaN;NaN;NaN;NaN
